Crater Chadwick,         -52.85, -101.34,    29.74
Crater Chaffee,          -39.06, -154.63,    51.75
Crater Challis,           79.58,    9.09,    53.21
Crater Chalonge,         -20.44, -116.35,    25.08
Crater Chamberlin,       -58.83,   96.04,    60.41
Crater Champollion,       37.39,  175.03,    48.97
Crater Chandler,          43.65,  171.76,    88.06
Crater Chang Heng,        18.09,  112.21,    42.65
Crater Chang-Ngo,        -12.69,   -2.16,     2.34
Crater Chant,            -40.14, -109.46,    33.06
Crater Chaplygin,         -5.76,  150.24,   123.39
Crater Chapman,           50.09, -100.47,    76.83
Crater Chappe,           -61.29,  -91.24,    55.79
Crater Chappell,          54.53, -176.77,    73.92
Crater Charles,           29.09,  -26.37,     1.34
Crater Charlier,          36.22, -131.69,   109.88
Crater Chaucer,            3.39, -140.71,    45.48
Crater Chauvenet,        -11.64,  137.02,    77.67
Crater Chawla,           -42.48, -147.49,    14.25
Crater Chebyshev,        -34.01, -132.88,   179.05
Crater Chernyshev,        47.01,  174.41,    59.31
Crater Chevallier,        45.01,   51.57,    51.83
Crater Ching-Te,          20.02,   29.97,     3.07
Crater Chladni,            3.99,    1.12,    13.07
Crater Chrétien,         -46.11,  162.99,    98.63
Crater Cichus,           -33.29,  -21.18,    39.18
Crater Clairaut,         -47.84,   13.86,    76.89
Crater Clark,            -38.67,  119.35,    52.11
Crater Clausius,         -36.09,  -43.93,    24.02
Crater Clavius,          -58.62,  -14.73,   230.77
Crater Cleomedes,         27.06,   55.05,   130.77
Crater Cleostratus,       60.32,  -77.04,    63.23
Crater Clerke,            21.68,   29.08,     6.66
Crater Coblentz,         -38.09,  126.65,    32.66
Crater Cockcroft,         31.09, -162.91,    92.16
Crater Collins,            1.03,   23.71,     2.58
Crater Colombo,          -15.26,   46.02,    79.02
Crater Compton,           55.86,  104.05,   164.63
Crater Comrie,            23.39, -113.17,    59.25
Crater Comstock,          21.59, -122.05,    73.23
Crater Condon,             1.87,   60.36,    34.85
Crater Condorcet,         12.01,   69.58,    74.85
